id,prompt
patella-setting,"【運動】パテラセッティング（Quad Sets）
仰向けに寝た状態。膝の裏に青い丸めたタオルを置いている。
膝裏でタオルを押し潰すように力を入れている瞬間。
太ももの前面（大腿四頭筋）に力が入っている様子が分かるように。
視点: 横から（側面図）、足側をやや手前に。
赤い矢印: 膝が下方向にタオルを押す方向を示す。"
slr,"【運動】SLR（Straight Leg Raise）
仰向けに寝た状態。反対側の膝は曲げて足底を床につけている。
運動側の脚は膝をしっかり伸ばしたまま、約30〜45度持ち上げている瞬間。
視点: 横から（側面図）。
赤い矢印: 足が上方向に持ち上がる方向を示す。"
bridge,"【運動】ブリッジ / ヒップリフト（Hip Lift / Bridge）
仰向けに寝た状態。両膝を曲げて両足底を床につけている。
お尻を持ち上げて、肩から膝まで一直線になっている瞬間。
頭の下に青い枕。
視点: 横から（側面図）。
赤い矢印: お尻が上方向に持ち上がる方向を示す。"
clamshell,"【運動】クラムシェル（Clamshell）
横向き（側臥位）に寝た状態。股関節約45度、膝約90度に曲げている。
両足はつけたまま、上側の膝を貝殻が開くように持ち上げている瞬間。
骨盤は安定して後ろに倒れていない。
視点: 正面やや上から（横向きの体を前方から見る）。
赤い矢印: 膝が開く方向（上方向）を示す。"
squat,"【運動】スクワット（Squat）
立った状態から、椅子の背もたれに両手を軽く添えて、腰を落としている瞬間（ハーフスクワット）。
足は肩幅に開いている。膝がつま先より前に出すぎていない。
視点: 横から（側面図）。膝・股関節の屈曲角度と体幹の前傾が分かるように。
赤い矢印: 腰が下方向に沈む方向を示す。
椅子はシンプルなパイプ椅子。"
calf-raise,"【運動】カーフレイズ（Calf Raise）
立った状態。壁に両手を軽く添えている。
つま先立ちで踵を最大限持ち上げている瞬間。
体はまっすぐ（前傾していない）。
視点: 横から（側面図）。ふくらはぎの筋収縮が分かるように。
赤い矢印: 踵が上方向に持ち上がる方向を示す。"
draw-in,"【運動】ドローイン（Abdominal Drawing-in）
仰向けに寝た状態。両膝を曲げて足底を床につけている。
おへそを背骨に引き寄せるようにお腹を凹ませている瞬間。
視点: 横から（側面図）。
赤い矢印: お腹が凹む方向（下方向・内側に向かって）を示す。
お腹が凹んでいる様子が明確に分かるように描く。"
seated-knee-ext,"【運動】座位での膝伸展（Seated Knee Extension）
椅子に座った状態。背筋を伸ばしている。
片脚の膝をまっすぐ伸ばして水平に持ち上げている瞬間。
つま先は天井に向けている（足関節背屈）。
視点: 横から（側面図）。
赤い矢印: 足が前方・上方向に持ち上がる方向を示す。
椅子はシンプルなパイプ椅子。"
scapular-retraction,"【運動】肩甲骨内転運動（Scapular Retraction）
椅子に座った状態。背筋を伸ばし、顎を引いた良い姿勢。
両肘を軽く曲げて、肩甲骨を背骨に向かって寄せている瞬間。
視点: 後方から（背面図）。肩甲骨が内側に寄っている様子が分かるように。
赤い矢印: 両方の肩甲骨が中央に向かって寄る方向を示す（2本の矢印）。"
wall-pushup,"【運動】ウォールプッシュアップ（Wall Push-Up）
壁から腕一本分離れて立っている。両手を肩幅で壁についている。
肘を曲げて体を壁に近づけている瞬間。
体は頭から踵まで一直線を保っている。
視点: 横から（側面図）。肘の屈曲と体の傾斜角度が分かるように。
赤い矢印: 体が壁に向かって近づく方向を示す。"
bird-dog,"【運動】ダイアゴナル / バードドッグ（Bird Dog）
四つ這いの状態。右手と左脚（対側）をまっすぐ水平に伸ばしている瞬間。
体幹は安定し、腰が反ったり傾いたりしていない。
視点: 横から（側面図）。手から脚まで一直線が分かるように。
赤い矢印: 右手が前方、左脚が後方にそれぞれ伸びる方向を示す（2本の矢印）。"
plank,"【運動】プランク（Plank）
うつ伏せの状態から、前腕（肘）とつま先で体を支えている。
頭から踵まで一直線を保っている。肘は肩の真下。
視点: 横から（側面図）。体の一直線のラインが明確に分かるように。
赤い矢印: なし（静的保持のため、体の一直線ラインを点線で強調）。"
sit-up,"【運動】シットアップ / 腹筋（Sit-Up）
仰向けに寝た状態。両膝を曲げて足底を床につけている。
両手を胸の前で交差し、肩甲骨が浮く程度に上体を起こしている瞬間。
視点: 横から（側面図）。
赤い矢印: 上体が起き上がる方向（前方・上方）を示す。"
trunk-rotation,"【運動】トランクローテーション（Trunk Rotation）
椅子に座った状態。背筋を伸ばしている。
両手を胸の前で組み、上半身を右にゆっくり回旋している瞬間。
骨盤は正面を向いたまま。
視点: 正面やや上から。回旋の動きが分かるように。
赤い矢印: 上半身が右方向に回旋する方向を示す（弧を描く矢印）。"
shoulder-flexion,"【運動】肩関節屈曲挙上（Shoulder Flexion）
椅子に座った状態。背筋を伸ばしている。
片腕を肘を伸ばしたまま、前方からバンザイ方向に挙げている瞬間（約120度）。
肩をすくめていない。
視点: 横から（側面図）。肩関節の屈曲角度が分かるように。
赤い矢印: 腕が前方・上方向に挙がる方向を示す（弧を描く矢印）。"
shoulder-abduction,"【運動】肩関節外転挙上（Shoulder Abduction）
椅子に座った状態。背筋を伸ばしている。
片腕を肘を伸ばしたまま、体の横方向に挙げている瞬間（約90度）。
肩をすくめていない。
視点: 正面から。外転の動きが分かるように。
赤い矢印: 腕が横方向に挙がる方向を示す。"
shoulder-external-rotation,"【運動】肩外旋運動（Shoulder External Rotation）
椅子に座った状態。脇を締めて肘を90度に曲げている。
セラバンド（青色）を両手で持ち、手を外側に開いている瞬間。
脇は締めたまま、肘の位置は動かさない。
視点: 正面から。外旋の動きが分かるように。
赤い矢印: 手が外側に開く方向を示す（2本の矢印、左右それぞれ外側へ）。"
hand-grip,"【運動】グーパー運動（Hand Grip Exercise）
椅子に座った状態。両手を前方に出している。
左手はしっかり握った状態（グー）、右手は指を大きく開いた状態（パー）。
視点: 正面やや上から。両手の形が明確に分かるように。
赤い矢印: 握る方向と開く方向をそれぞれ示す。"
hip-abduction,"【運動】ヒップアブダクション（Hip Abduction）
横向き（側臥位）に寝た状態。下側の脚は軽く曲げて安定。
上側の脚を膝を伸ばしたまま、約30度持ち上げている瞬間。
骨盤は安定して後ろに倒れていない。
視点: 正面から（横向きの体を前方から見る）。
赤い矢印: 脚が上方向に持ち上がる方向を示す。"
hamstring-curl,"【運動】ハムストリングスカール（Hamstring Curl）
うつ伏せに寝た状態。
片脚の膝を曲げて、踵をお尻に近づけている瞬間（膝屈曲約90度）。
骨盤は浮いていない。
視点: 横から（側面図）。膝の屈曲角度が分かるように。
赤い矢印: 踵がお尻に向かう方向を示す。"
